% Model,Smooth_Finite_PML_TM30_300GHz_COMSOL61_with_S11.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 22 2026, 14:43"
% Dimension,2
% Nodes,1338
% Expressions,13
% Description,"Observation angle from upward normal, Re normalized angular field, Im normalized angular field, Normalized angular field magnitude, Normalized angular field magnitude, dB, Normalized angular field phase, Normalized angular intensity, Re scattered E at 1 m, Im scattered E at 1 m, Scattered E magnitude at 1 m, Scattered E phase at 1 m, 2D scattering width, 2D scattering width, dB relative to 1 m"
% Length unit,mm
% X,Y,theta_obs (deg) @ freq=300,real(Sang_complex) (1) @ freq=300,imag(Sang_complex) (1) @ freq=300,Sang_magnitude (1) @ freq=300,Sang_dB @ freq=300,Sang_phase (deg) @ freq=300,Sang_power (1) @ freq=300,real(Escat_far_complex) (V/m) @ freq=300,imag(Escat_far_complex) (V/m) @ freq=300,Escat_far_magnitude (V/m) @ freq=300,Escat_far_phase (deg) @ freq=300,sigma2D (m) @ freq=300,sigma2D_dB @ freq=300
-20,1,-80,-0.002303619809370881,0.0016766194916426488,0.0028492560905139784,-50.90545559064598,143.95418394876285,8.118422122504134E-6,0.001982352521031138,-1.1362859356811057E-4,0.001985841951072829,-3.2756190954121758,2.4779043219955387E-5,-46.05945773531287
-19.999501471463972,1,-79.99800588585589,-0.002303880329632878,0.001674964629348658,0.002848450019481979,-50.90787429911029,143.98325763018033,8.11375501301925E-6,0.0019818277145761377,-1.1163481286720239E-4,0.0019850984356273105,-3.2212482020493223,2.476009505758146E-5,-46.0626427205947
-19.99701888139694,1,-79.98807552558776,-0.0023049855862820284,0.0016667158776685219,0.0028445080789486128,-50.91990667823912,144.13087132942903,8.091318599747043E-6,0.0019786493740602032,-1.017860949968939E-4,0.001981409904389185,-2.941557704683504,2.4668206624142978E-5,-46.07880651570396
-19.939549433094697,1,-79.75819773237879,-0.002326226676000826,0.0014756973522719447,0.0027548706102658695,-51.19802196338247,147.6111844596687,7.5893934138035355E-6,0.0018926357188640928,1.2355327114906074E-4,0.0018968044499154935,3.7380560158217437,2.2606524031225626E-5,-46.45783694936108
-19.93706684302766,1,-79.74826737211065,-0.0023269438213406935,0.0014674477874826214,0.002751072302805612,-51.210009589149166,147.76440465664874,7.568484495888328E-6,0.0018883637699599403,1.3312719049779248E-4,0.00189320704228673,4.036149768871736,2.252088264807426E-5,-46.474333605538746
-19.879597394725415,1,-79.51838957890166,-0.0023390238158677,0.0012766521017504098,0.0026648027731905996,-51.48674412795151,151.37523739338516,7.101249059611893E-6,0.0017773639053726583,3.5028783148175694E-4,0.0018117047836966175,11.152345037798503,2.062355665698968E-5,-46.856539829468275
-19.877114804658373,1,-79.50845921863349,-0.0023393376422995676,0.0012684240381706656,0.002661152054044256,-51.49865517552022,151.53411642523636,7.081809300582343E-6,0.0017720340712462695,3.5942500614792003E-4,0.0018082871831428173,11.469598769173265,2.0545833547721762E-5,-46.87294542091223
-19.819645356356087,1,-79.27858142542436,-0.0023419239329620736,0.0010784093637713663,0.002578347663251284,-51.773215232802826,155.27609439847603,6.647945886415368E-6,0.001637171366309308,5.646108371095821E-4,0.0017319589310693946,19.031068097264313,1.884791836764296E-5,-47.247531864638425
-19.81716276628905,1,-79.26865106515622,-0.0023418210581885217,0.001070228741007432,0.002574848868073046,-51.78501311614521,155.4406303221068,6.629919188545897E-6,0.0016308460190585879,5.73146124697451E-4,0.001728809460977185,19.3673677726301,1.8779431337509873E-5,-47.26334291570118
-19.75969331798672,1,-79.03877327194688,-0.0023346280590726136,8.816346835760877E-4,0.0024956103051601065,-52.05650829183752,159.31301365824254,6.2281340727922465E-6,0.0014738789359439385,7.625318913532191E-4,0.0016596240474395217,27.35866454305058,1.7306395988381544E-5,-47.618079328941505
-19.757210727919702,1,-79.02884291167881,-0.00233409734770076,8.73530835082367E-4,0.0024922676724146654,-52.06815297293034,159.48314077518705,6.211464212438802E-6,0.0014666485475155681,7.703010623973473E-4,0.00165682171377056,27.71268369928086,1.7247988376908816E-5,-47.63275691634829
