# COMSOL 6.4 angular-spectrum results, interpolated to a uniform 1 degree grid
# Angle is measured from the upward surface normal; positive is toward +x
# 2D_RCS_m is scattering width per unit out-of-plane length, not 3D RCS in m^2
angle_deg,Sang_real,Sang_imag,Sang_magnitude,Sang_dB,Sang_phase_deg,normalized_intensity,Escat_1m_real_Vpm,Escat_1m_imag_Vpm,Escat_1m_magnitude_Vpm,Escat_1m_phase_deg,RCS_2D_m,RCS_2D_dB_ref_1m
-80,-0.002303619809370881,0.0016766194916426488,0.0028491607792264003,-50.90566085332452,143.952140688973,8.11771714588199e-06,0.001982352521031138,-0.00011362859356811057,0.001985606450159441,-3.280608562228908,2.4772293579586266e-05,-46.06033781753101
-79,-0.002331939114139214,0.0008501357967504287,0.0024820698831759086,-52.10371990033629,159.9700790360598,6.160670904968869e-06,0.001444483946805361,0.0007916100868156047,0.0016471734584210013,28.723744386867974,1.7047415238369467e-05,-47.683414602380694
-78,-0.0021799046231379144,6.634693795772452e-05,0.0021809140474017812,-53.22722900364552,178.25670061254428,4.756386082154419e-06,0.0005748682458069901,0.0013368227976712404,0.0014551868238857745,66.73104935191206,1.3305076495098827e-05,-48.75982624208886
-77,-0.0018473114584803556,-0.0006099299667748863,0.0019453982083375199,-54.219829768691426,-161.7282388812244,3.7845741890028325e-06,-0.000317202072449865,0.0013212774604146127,0.0013588198122511232,103.49964818665129,1.1601218575411005e-05,-49.35496390705709
-76,-0.0013646304323572745,-0.001107663760733889,0.0017575935889046544,-55.1016308048234,-140.93393288018865,3.0891352237587435e-06,-0.0008141889396649086,0.0007673482484032955,0.0011188060438701043,136.6964442163347,7.864832467550395e-06,-51.043105240506534
-75,-0.0007968787758492805,-0.0013690556332024266,0.0015840862066826872,-56.00442375205361,-120.20216853558945,2.5093291102023454e-06,-0.0006062558715392075,8.74362233890832e-06,0.0006063189199648726,179.1737186379216,2.3098411244136223e-06,-56.36417890741343
-74,-0.00023677680956946397,-0.0013709884953659868,0.0013912845546385493,-57.13168072336954,-99.79861930047304,1.9356727119757864e-06,0.00023175955524678705,-0.00040871069408731156,0.00046984776567471354,-60.44457897658662,1.387056654483276e-06,-58.57905799758032
-73,0.00021292719554451804,-0.0011405669213926607,0.0011602719046747557,-58.70880447645789,-79.4254392100397,1.3462308927775855e-06,0.001099421785706877,-6.308667867938416e-05,0.001101230308297812,-3.284127241615194,7.619670293328443e-06,-51.18063820377722
-72,0.00047253137586697995,-0.0007638041761959433,0.0008981551763214999,-60.932972456006695,-58.25678025022437,8.066827207531047e-07,0.0011370277223936133,0.00087841956159219,0.0014368204368255008,37.688157841589984,1.2971340553886643e-05,-48.870151384054765
-71,0.0005134075173205939,-0.00036108651738215745,0.0006276708945589807,-64.04536018707796,-35.119243700233305,3.9397075187647105e-07,-6.808700311485431e-05,0.0015565549104079673,0.0015580433335142887,92.50464192428515,1.5252426232886089e-05,-48.16661066760291
-70,0.00037376858478547006,-5.220940996158066e-05,0.0003773973734157003,-68.46402253466908,-7.951840019111498,1.4242877746106952e-07,-0.0018275004883661723,0.0009732693483562164,0.00207050990324324,151.96163738205684,2.6936086156953544e-05,-45.69665507496502
-69,0.00014974185310226036,8.746230874138493e-05,0.00017341360390947495,-75.21833672184756,30.2886563525536,3.0072278020872264e-08,-0.00250077913286393,-0.0009435133421386275,0.002672847488758248,-159.32912303922913,4.488779022110733e-05,-43.47871773934531
-68,-4.1397757066025094e-05,5.823308572050437e-05,7.144834891464771e-05,-82.92015605559675,125.40892720154136,5.104866562629241e-09,-0.0008546460864655021,-0.002712605726795859,0.002844055161588201,-107.48779538414605,5.08224853405033e-05,-42.93944100732443
-67,-0.00011258237502743248,-6.436344986103547e-05,0.00012968209145765454,-77.74239987972476,-150.2433557963185,1.6817444844831476e-08,0.0022175667649094186,-0.002220457534331969,0.003138157742785157,-45.03732040495179,6.187702265028753e-05,-42.08470591508856
-66,-5.321209002242778e-05,-0.00016904211802777194,0.00017721953671046017,-75.02976806231416,-107.47327148606442,3.1406764191870144e-08,0.003688893580032872,0.0008277324262377182,0.003780618575610758,12.646840680522063,8.980605023370439e-05,-40.466944039273514
